Modalidad de Contratacion,Fecha de Publicacion del Proceso,Referencia del Proceso,Número de Proceso,Descripción del Procedimiento,Cuantía,Unidad de Contratación,URLProceso
Contratación directa,12/02/2019,81003719,"Apoyar la implementación de los procesos de empoderamiento ciudadano en el territorio en relación a la fiscalización  de los servicios públicos domiciliarios, mediante la orientación personalizada a l","Apoyar la implementación de los procesos de empoderamiento ciudadano en el territorio en relación a la fiscalización  de los servicios públicos domiciliarios, mediante la orientación personalizada a los usuarios de servicios publicos domiciliarios.",18720000,DIRECCCION TERRITORIAL CENTRO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.729523&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,28/01/2021,020005221,Prestar los servicios profesionales en la Dirección Técnica de Gestión de Gas Combustible extrayendo información a través del proceso de minería de datos de las bases de datos de los prestadores,"Prestar los servicios profesionales en la Dirección Técnica de Gestión de
Gas Combustible extrayendo información a través del proceso de minería de datos de las
bases de datos de los prestadores de gas combustible con el fin de disponer de
información para la toma de decisiones en los procesos de inspección, vigilancia y control",37485000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1708103&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,25/09/2018,052012118,Taller Pautas para el fortalecimiento de la gestión documental e integridad,Inscribir a dos (2) funcionarios de la entidad en el seminario  taller Pautas para el fortalecimiento de la gestión documental e integridad a realizarse en Bogotá el 27 y 28 de septiembre de 2018.,2300000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.545369&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,22/01/2019,016000419,El contratista se obliga a prestar sus servicios de apoyo para la gestión y solución de las solicitudes de soporte técnico a las aplicaciones,"El contratista se obliga a prestar sus servicios de apoyo para la gestión y solución de las solicitudes de soporte técnico a las aplicaciones que le sean asignadas, en atención a los lineamientos de la Oficina de Informática y al proceso de Gestión de Tecnologías de la Información.",38987653,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.677879&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,29/01/2020,40012220,"Prestar sus servicios profesionales para verificar, consolidar y analizar desde el componente social toda la información derivada de la identificación, formalización y formulación de un esquema de vig","Prestar sus servicios profesionales para verificar, consolidar y analizar desde el componente social toda la información derivada de la identificación, formalización y formulación de un esquema de vigilancia diferencial para prestadores en áreas rurales.",71066648,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1072354&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,29/12/2018,84004518,"Prestar los servicios profesionales en la Dirección Territorial Oriente en la clasificación, tipificación y preparación de los radicados asignados, así como la revisión organización y creación de expe","Prestar los servicios profesionales en la Dirección Territorial Oriente en la clasificación, tipificación y preparación de los radicados asignados, así como la revisión organización y creación de expedientes virtuales, y su asignación al grupo de gestión de trámites.",19710080,DIRECCION TERRITORIAL ORIENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.638923&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,15/01/2020,16001220,"Prestar sus servicios profesionales al grupo SUI en tipificar, hacer análisis casuístico, priorizar y asignar a los analistas las solicitudes que se reciban a través de los diferentes canales","Prestar sus servicios profesionales al grupo SUI en tipificar, hacer análisis casuístico, priorizar y asignar a los analistas las solicitudes que se reciban a través de los diferentes canales que disponga la entidad, para la atención y orientación de prestadores y grupos de interés, en los temas relacionados con el Sistema Único de Información SUI y apoyar las actividades encaminadas a cumplir con las funciones asignadas al grupo SUI, según tiempos de ley y vencimientos de cargue",43148000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1041130&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,19/01/2021,81000321,"Prestar los servicios de apoyo  en el procedimiento de notificación de los actos administrativos a su cargo, así como la atención de los trámites que se asignen a través del sistema que la entidad dis","Prestar los servicios de apoyo  en el procedimiento de notificación de los actos administrativos a su cargo, así como la atención de los trámites que se asignen a través del sistema que la entidad disponga para ello, en el marco de la gestión de trámites a cargo de la Dirección Territorial.",27622534,DIRECCCION TERRITORIAL CENTRO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1670516&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,16/01/2019,060000619,Prestar sus servicios profesionales en la Direccion de Entidades Intervenidas y en Liquidacion,Prestar sus servicios profesionales en la Dirección de Entidades Intervenidas y en Liquidación brindando apoyo tarifario y financiero al seguimiento de los procesos de toma de posesión que adelanta la Superservicios de conformidad con la Ley 142 de 1994.,85750000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.664848&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,01/03/2019,40007019,"Prestar servicios profesionales a la Dirección Técnica de Gestión de Acueducto y Alcantarillado, desde el componente técnico en todas las actividades derivadas de los procesos de inspección, vigilanci","Prestar servicios profesionales a la Dirección Técnica de Gestión de Acueducto y Alcantarillado, desde el componente técnico en todas las actividades derivadas de los procesos de inspección, vigilancia y control a los prestadores de acueducto y alcantarillado.",37983325,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.763246&isFromPublicArea=True&isModal=true&asPopupView=true
